"Education","Marital_Status","Income","Recency","NumWebVisitsMonth","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Response","Age","Total_Spending","TotalNumPurchases","TotalAcceptedCmp","AcceptedCmp","Children"
"Postgrad","Married",67353,37,2,0,0,0,0,0,0,48,913,28,0,0,1
"Undergraduate","Married",23718,76,7,0,0,0,0,0,0,42,81,9,0,0,1
"Graduate","Single",42429,99,5,0,0,0,0,0,0,45,67,7,0,0,1
"Postgrad","Single",48948,53,6,1,0,0,0,0,1,75,902,24,2,1,0
"Graduate","Married",80011,3,4,0,0,0,0,0,0,38,1395,21,0,0,1
"Postgrad","Married",20559,88,8,0,0,0,0,0,0,33,53,7,0,0,1
"Graduate","Married",21994,4,5,0,0,0,0,0,0,61,22,4,0,0,1
"Postgrad","Married",7500,19,5,0,0,0,0,0,0,43,31,8,0,0,1
"Graduate","Single",79941,72,1,0,0,0,0,0,0,42,984,16,0,0,0
"Undergraduate","Married",7500,24,9,0,0,0,0,0,1,22,122,10,1,1,0
"Graduate","Married",41728,92,10,0,0,0,0,0,0,50,55,5,0,0,1
"Postgrad","Married",72550,39,8,0,0,0,0,0,0,64,1319,28,0,0,2
"Graduate","Single",65486,29,2,0,0,0,0,0,0,61,507,17,0,0,1
"Postgrad","Married",79143,2,3,0,0,0,0,0,0,54,1693,29,0,0,0
"Graduate","Single",35790,54,7,0,0,0,0,0,0,41,72,7,0,0,1
"Graduate","Single",82582,54,1,1,0,0,1,0,1,41,1617,21,3,1,0
"Graduate","Married",66373,57,3,0,0,0,0,0,0,40,606,23,0,0,2
"Postgrad","Married",82384,55,1,0,0,1,0,0,1,63,1957,27,2,1,0
"Graduate","Single",70287,30,3,0,0,0,0,0,1,52,1093,21,1,1,0
"Graduate","Single",27938,31,3,0,0,0,0,0,0,30,29,6,0,0,1
"Postgrad","Married",55954,63,7,0,0,0,0,0,0,50,518,19,0,0,1
"Postgrad","Single",75777,12,1,0,1,1,0,0,1,36,1438,21,3,1,0
"Graduate","Married",66653,18,3,0,0,0,0,0,0,43,612,22,0,0,2
"Graduate","Single",61823,26,7,0,0,0,0,0,0,66,884,24,0,0,1
"Postgrad","Single",67680,8,5,0,0,0,0,0,0,67,606,19,0,0,1
"Graduate","Married",70666,29,4,0,0,0,0,0,0,70,1076,16,0,0,0
"Graduate","Married",25721,75,7,0,0,0,0,0,1,47,34,5,1,1,1
"Graduate","Married",32474,0,7,0,0,0,0,0,0,51,11,4,0,0,2
"Undergraduate","Single",88194,19,5,1,0,0,1,0,1,39,1274,32,3,1,1
"Graduate","Married",69096,4,4,0,0,0,0,0,0,60,653,18,0,0,1
"Graduate","Married",74854,90,5,0,0,0,0,0,0,48,1562,19,0,0,3
"Postgrad","Married",66991,1,3,0,0,0,0,0,0,64,1253,21,0,0,0
"Graduate","Married",65031,29,7,0,0,0,0,0,0,59,863,30,0,0,1
"Postgrad","Married",60631,88,7,0,1,0,0,0,0,43,661,24,1,1,2
"Graduate","Married",28332,58,2,0,0,0,0,0,0,66,65,8,0,0,0
"Graduate","Single",40246,68,6,0,0,0,0,0,0,41,13,4,0,0,1
"Postgrad","Married",75251,34,5,0,0,0,0,0,1,46,1890,19,1,1,0
"Graduate","Single",75825,40,4,1,0,0,0,0,1,42,2209,22,2,1,0
"Undergraduate","Married",26326,12,3,0,0,0,0,0,0,42,18,4,0,0,0
"Graduate","Married",56046,9,8,1,0,0,0,0,1,53,692,21,2,1,0
"Graduate","Single",29760,87,8,0,0,0,0,0,0,33,165,12,0,0,1
"Graduate","Married",26304,5,7,0,0,0,0,0,0,49,16,4,0,0,1
"Undergraduate","Married",23559,87,7,0,0,0,0,0,0,45,79,9,0,0,1
"Postgrad","Married",38620,56,3,0,0,0,0,0,0,55,318,11,0,0,0
"Graduate","Single",81361,18,1,0,0,0,0,0,0,31,778,27,0,0,0
"Graduate","Married",29440,95,7,0,0,0,0,0,0,58,56,7,0,0,2
"Postgrad","Married",36138,48,7,0,1,0,0,0,0,48,151,13,1,1,2
"Graduate","Single",50388,3,7,0,1,0,1,0,1,61,372,17,3,1,1
"Graduate","Married",79593,70,2,0,0,1,0,0,0,45,1366,19,1,1,0
"Graduate","Married",54178,79,2,0,0,0,0,0,0,51,194,10,0,0,1
"Postgrad","Single",42394,69,7,0,0,0,0,0,0,46,32,5,0,0,1
"Postgrad","Married",23626,84,5,0,0,0,0,0,0,48,43,10,0,0,1
"Graduate","Married",30096,30,6,0,0,0,0,0,0,35,45,6,0,0,1
"Graduate","Single",47916,72,6,0,1,0,0,0,0,58,606,22,1,1,1
"Graduate","Single",51813,37,7,0,0,0,0,0,0,46,63,7,0,0,2
"Undergraduate","Married",78497,44,2,0,0,0,1,0,0,67,978,25,1,1,0
"Postgrad","Married",50150,32,5,0,0,0,0,0,0,35,410,16,0,0,0
"Undergraduate","Single",47823,0,8,0,0,0,0,0,0,58,72,7,0,0,1
"Postgrad","Single",34554,43,6,0,0,0,0,0,0,59,55,7,0,0,1
"Graduate","Married",85693,59,5,0,0,0,0,0,0,39,1169,27,0,0,1
"Postgrad","Married",65846,68,4,0,0,0,0,0,0,73,1120,16,0,0,0
"Graduate","Married",87195,35,1,0,0,0,0,0,1,59,1097,20,1,1,0
"Undergraduate","Married",24594,94,5,0,0,0,0,0,0,39,29,5,0,0,1
"Graduate","Married",49096,15,7,0,0,0,0,0,0,54,187,13,0,0,2
"Graduate","Married",52413,56,6,0,0,0,0,0,0,49,910,26,0,0,2
"Graduate","Single",38557,17,7,0,0,0,0,0,0,40,145,9,0,0,1
"Postgrad","Married",89058,18,2,0,0,0,0,0,0,58,850,14,0,0,0
"Graduate","Married",77298,46,3,0,0,0,0,0,0,39,969,24,0,0,1
"Postgrad","Single",68126,40,9,0,1,0,0,0,1,27,1820,17,2,1,0
"Postgrad","Married",57288,27,6,0,1,0,0,0,0,55,608,20,1,1,1
"Graduate","Single",86037,95,3,0,1,1,0,0,1,27,730,25,3,1,0
"Postgrad","Married",43974,19,7,0,0,0,0,0,0,38,551,21,0,0,1
"Graduate","Single",50785,27,6,0,0,0,0,0,0,56,114,8,0,0,2
"Graduate","Married",90765,25,1,0,0,1,1,0,0,48,1724,15,2,1,0
"Undergraduate","Married",36550,74,9,0,0,0,0,0,0,40,577,20,0,0,1
"Undergraduate","Married",30753,85,5,0,0,0,0,0,0,51,81,7,0,0,2
"Graduate","Married",21918,37,6,0,0,0,0,0,0,49,33,7,0,0,1
"Postgrad","Married",56129,65,4,0,0,0,0,0,0,65,660,22,0,0,1
"Postgrad","Single",32557,13,5,0,0,0,0,0,1,51,80,9,1,1,1
"Postgrad","Married",19510,63,7,0,0,0,0,0,0,33,30,6,0,0,2
"Graduate","Single",30992,83,7,0,0,0,0,0,0,42,43,5,0,0,1
"Graduate","Single",101970,69,2,0,1,1,1,0,1,35,1135,27,4,1,0
"Undergraduate","Married",71488,87,1,0,0,0,0,0,0,53,559,16,0,0,0
"Graduate","Single",79607,37,1,0,0,0,0,0,1,34,1923,16,1,1,0
"Postgrad","Married",54348,51,6,0,0,0,0,0,0,65,90,8,0,0,2
"Postgrad","Married",77376,72,4,0,0,0,0,0,0,62,661,23,0,0,2
"Graduate","Married",62998,10,5,0,0,0,0,0,0,66,463,19,0,0,1
"Postgrad","Single",61331,42,8,0,0,0,0,0,0,60,632,23,0,0,2
"Graduate","Married",73448,10,4,0,0,0,0,0,0,49,725,19,0,0,0
"Postgrad","Married",41551,51,8,0,0,0,0,0,0,54,279,16,0,0,2
"Postgrad","Married",62981,21,3,0,1,0,0,0,0,51,1482,23,1,1,0
"Undergraduate","Single",9548,31,8,0,0,0,0,0,0,42,29,6,0,0,1
"Postgrad","Married",33762,61,8,0,0,0,0,0,0,59,106,9,0,0,3
"Postgrad","Single",35860,37,5,1,0,0,0,0,1,45,49,6,2,1,2
"Postgrad","Single",36921,74,7,0,0,0,0,0,0,53,38,7,0,0,2
"Postgrad","Single",92859,46,2,0,0,0,0,0,0,26,2077,22,0,0,0
"Postgrad","Married",65104,4,7,0,0,0,0,0,1,42,1053,17,1,1,1
"Graduate","Married",86111,73,2,0,0,0,0,0,0,56,1385,23,0,0,0
"Postgrad","Single",68352,47,6,0,0,0,0,0,0,44,871,25,0,0,1
"Graduate","Married",41883,13,7,0,0,0,0,0,0,30,312,12,0,0,1
"Graduate","Married",59809,36,8,0,0,0,0,0,0,42,877,15,0,0,2
"Graduate","Married",23957,47,6,0,0,0,0,0,1,43,68,6,1,1,1
"Graduate","Married",38547,49,8,0,0,0,0,0,0,37,22,4,0,0,1
"Undergraduate","Married",35688,94,8,0,0,0,0,0,0,45,211,16,0,0,3
"Postgrad","Married",49605,65,3,0,0,0,0,0,0,52,127,8,0,0,0
"Postgrad","Married",59354,59,3,0,0,0,0,0,0,65,459,16,0,0,2
"Graduate","Married",65747,96,6,0,1,0,0,0,0,49,460,19,1,1,1
"Undergraduate","Married",46344,28,7,0,0,0,0,0,0,46,429,17,0,0,1
"Graduate","Single",34176,12,6,0,0,0,0,0,0,30,89,11,0,0,1
"Postgrad","Married",61010,57,5,0,0,0,0,0,0,66,1021,26,0,0,1
"Graduate","Married",69372,10,4,0,1,1,0,0,1,69,1381,21,3,1,0
"Graduate","Single",49967,4,7,0,0,0,0,0,0,60,306,15,0,0,1
"Graduate","Single",60199,49,4,0,0,0,0,0,0,40,18,4,0,0,3
"Graduate","Married",55375,3,2,0,0,0,0,0,0,41,162,9,0,0,1
"Graduate","Single",80317,64,1,0,0,0,0,0,0,63,1231,18,0,0,0
"Postgrad","Single",30523,0,7,0,0,0,0,0,0,60,13,4,0,0,3
"Postgrad","Married",70356,20,6,0,0,0,0,0,0,73,1706,27,0,0,0
"Graduate","Married",23228,91,8,0,0,0,0,0,0,34,121,11,0,0,1
"Postgrad","Single",74165,9,2,0,0,0,0,0,0,43,1293,20,0,0,0
"Postgrad","Married",157243,98,0,0,0,0,0,0,0,45,1608,37,0,0,1
"Graduate","Married",43482,83,6,0,0,0,0,0,0,52,88,9,0,0,3
"Graduate","Single",62551,27,3,1,0,0,0,0,0,65,421,18,1,1,0
"Graduate","Single",52332,63,4,0,1,0,0,0,0,59,259,12,1,1,0
"Graduate","Single",66951,46,1,0,0,0,0,0,0,30,1117,15,0,0,0
"Graduate","Married",26091,84,5,0,0,0,0,0,0,61,89,9,0,0,2
"Graduate","Married",33456,58,7,0,0,0,0,0,0,53,36,6,0,0,2
"Graduate","Married",28718,78,8,0,0,0,0,0,0,36,57,7,0,0,1
"Graduate","Married",50447,4,6,0,0,0,0,0,0,48,148,8,0,0,2
"Postgrad","Married",53537,17,5,0,0,0,0,0,0,59,93,8,0,0,2
"Graduate","Single",52074,77,4,1,0,0,0,0,0,51,119,7,1,1,1
"Postgrad","Married",80427,56,5,0,0,0,0,0,0,43,1835,28,0,0,1
"Postgrad","Married",83837,79,4,0,1,0,1,0,1,70,1318,25,3,1,0
"Postgrad","Married",38853,90,7,0,0,0,0,0,0,48,45,7,0,0,2
"Graduate","Married",38285,96,2,0,0,0,0,0,0,59,10,4,0,0,3
"Undergraduate","Married",78497,44,2,0,0,0,1,0,0,67,978,25,1,1,0
"Postgrad","Married",51650,81,5,0,0,0,0,0,0,42,191,10,0,0,1
"Undergraduate","Married",16248,77,6,0,0,0,0,0,0,30,57,9,0,0,1
"Postgrad","Married",66835,21,2,0,0,0,0,0,0,72,1033,24,0,0,0
"Postgrad","Married",30477,16,6,0,0,0,0,0,0,34,66,6,0,0,1
"Undergraduate","Married",28249,80,6,0,0,0,0,0,0,57,43,6,0,0,0
"Graduate","Married",25271,45,9,0,0,0,0,0,0,35,50,5,0,0,1
"Postgrad","Single",32303,63,5,0,0,0,0,0,0,48,39,7,0,0,1
"Graduate","Married",61286,34,5,0,0,0,0,0,0,52,608,18,0,0,1
"Graduate","Married",74068,14,2,0,0,0,0,0,0,42,1581,24,0,0,0
"Postgrad","Married",45759,13,7,0,0,0,0,0,0,54,68,7,0,0,2
"Undergraduate","Married",24882,52,6,1,0,0,0,0,0,40,80,5,1,1,1
"Postgrad","Married",66973,98,3,0,0,0,0,0,0,29,1282,28,0,0,0
"Graduate","Married",38872,93,8,0,0,0,0,0,0,30,91,8,0,0,1
"Graduate","Married",51148,38,6,0,0,0,0,0,0,45,315,16,0,0,2
"Graduate","Married",31353,24,8,0,0,0,0,0,0,41,31,6,0,0,2
"Postgrad","Married",69661,80,3,0,0,0,0,0,0,38,834,23,0,0,0
"Graduate","Married",80067,82,2,0,0,1,0,0,0,64,1600,17,1,1,0
"Graduate","Married",86718,20,2,0,0,0,0,0,0,64,1270,17,0,0,0
"Postgrad","Single",46854,81,8,1,0,0,0,0,1,45,263,15,2,1,2
"Graduate","Single",69142,50,5,0,1,0,0,0,0,66,535,19,1,1,1
"Graduate","Single",75922,60,1,0,0,0,0,0,0,50,1295,18,0,0,0
"Graduate","Single",63693,63,6,0,0,0,0,0,0,40,1150,29,0,0,1
"Postgrad","Married",102160,54,4,0,1,1,1,0,1,41,1240,26,4,1,0
"Postgrad","Single",40637,72,7,0,0,0,0,0,0,53,38,6,0,0,2
"Postgrad","Single",18890,5,6,1,0,0,0,0,1,34,35,4,2,1,0
"Graduate","Married",29604,88,9,1,0,0,0,0,0,30,53,5,1,1,1
"Postgrad","Single",48721,50,6,0,0,0,0,0,0,55,293,17,0,0,2
"Graduate","Married",44794,99,6,0,0,0,0,0,0,52,65,6,0,0,1
"Graduate","Single",64497,17,8,1,0,0,0,0,1,64,1804,29,2,1,1
"Graduate","Married",46097,11,4,0,0,0,0,0,0,62,241,15,0,0,1
"Graduate","Married",77972,18,1,0,0,0,0,0,0,64,1101,20,0,0,0
"Postgrad","Married",44377,70,8,0,0,0,0,0,0,50,264,19,0,0,2
"Postgrad","Married",46014,21,7,0,0,0,0,0,0,44,541,26,0,0,2
"Graduate","Married",70951,66,1,0,0,0,0,0,0,33,1198,17,0,0,0
"Graduate","Married",41443,79,8,0,0,0,0,0,0,41,482,20,0,0,1
"Undergraduate","Single",52195,2,8,0,0,0,0,0,0,40,17,4,0,0,3
"Postgrad","Married",83790,81,3,0,1,1,0,0,0,70,1615,25,2,1,0
"Postgrad","Single",44551,24,7,0,0,0,0,0,0,64,285,12,0,0,1
"Graduate","Married",69508,48,6,0,0,0,0,0,0,38,1135,28,0,0,1
"Undergraduate","Married",45204,93,3,0,0,0,0,0,0,30,114,7,0,0,1
"Graduate","Married",72460,56,1,0,0,0,0,0,0,49,1047,16,0,0,0
"Postgrad","Married",77622,3,3,0,0,0,0,0,0,48,714,22,0,0,2
"Postgrad","Married",30732,44,8,0,0,0,0,0,0,38,185,13,0,0,1
"Graduate","Single",63887,38,6,0,0,0,0,0,0,56,1245,32,0,0,1
"Graduate","Married",42011,46,8,0,0,0,0,0,0,40,189,12,0,0,1
"Graduate","Married",51369,84,8,0,0,0,0,0,0,42,576,16,0,0,1
"Graduate","Single",51537,27,8,0,0,0,0,0,0,66,1103,18,0,0,1
"Postgrad","Married",79930,72,2,0,0,0,0,0,0,46,1753,17,0,0,0
"Postgrad","Married",34320,66,8,0,0,0,0,0,0,32,17,4,0,0,1
"Graduate","Single",37070,30,7,0,0,0,0,0,1,52,433,23,1,1,2
"Undergraduate","Single",81975,2,7,0,0,1,0,0,0,56,1588,14,1,1,1
"Graduate","Married",38590,65,8,0,0,0,0,0,0,47,22,4,0,0,1
"Graduate","Single",15033,37,3,0,0,0,0,0,0,67,19,5,0,0,0
"Postgrad","Married",62745,89,5,0,0,0,0,0,0,53,1117,29,0,0,1
"Undergraduate","Married",22212,49,6,0,0,0,0,0,0,43,69,8,0,0,1
"Postgrad","Married",23661,46,7,0,0,0,0,0,0,36,23,5,0,0,1
"Postgrad","Single",79761,32,3,0,0,0,0,0,0,60,605,19,0,0,1
"Graduate","Single",7500,54,7,0,0,0,0,0,0,45,57,11,0,0,1
"Graduate","Single",73455,98,3,0,1,0,0,0,0,50,2088,22,1,1,0
"Graduate","Married",64961,97,3,0,0,0,0,0,0,60,1009,16,0,0,1
"Graduate","Single",22804,75,9,0,0,0,0,0,0,47,26,5,0,0,1
"Graduate","Married",73687,8,2,0,0,0,1,0,1,28,1627,22,2,1,0
"Graduate","Married",61074,37,7,0,0,0,0,0,0,60,1102,31,0,0,1
"Postgrad","Married",31686,31,6,0,0,0,0,0,0,54,17,6,0,0,2
"Graduate","Married",80134,40,6,0,1,1,1,0,1,46,1690,16,4,1,1
"Graduate","Married",75027,74,5,0,0,0,0,0,0,65,1390,21,0,0,1
"Postgrad","Married",67546,90,3,0,0,0,0,0,0,30,2126,20,0,0,0
"Postgrad","Married",65176,57,6,0,0,0,0,0,0,49,1531,25,0,0,1
"Postgrad","Single",31160,59,8,0,0,0,0,0,0,43,64,7,0,0,1
"Graduate","Single",29938,52,6,0,0,0,0,0,0,33,26,6,0,0,1
"Graduate","Single",102692,5,2,0,1,1,1,1,1,44,1112,29,5,1,0
"Undergraduate","Married",26490,92,6,0,0,0,0,0,0,60,210,11,0,0,0
"Graduate","Married",75702,77,8,0,0,0,0,0,0,51,1148,26,0,0,2
"Postgrad","Single",30899,35,6,0,0,0,0,0,0,44,33,6,0,0,1
"Postgrad","Married",63342,48,6,0,1,0,0,0,0,57,1101,19,1,1,1
"Graduate","Single",45989,97,3,0,0,0,0,0,0,54,322,16,0,0,1
"Graduate","Single",18701,95,5,0,0,0,0,0,0,54,44,10,0,0,2
"Postgrad","Single",40737,24,8,0,0,0,0,0,0,61,17,4,0,0,3
"Graduate","Single",15287,60,7,1,0,0,0,0,1,39,31,6,2,1,1
"Postgrad","Single",69674,46,5,0,0,0,0,0,0,50,845,25,0,0,2
"Postgrad","Married",44159,85,5,0,0,0,0,0,0,48,275,15,0,0,1
"Postgrad","Married",37717,31,9,0,0,0,0,0,0,40,25,4,0,0,1
"Postgrad","Married",43776,9,8,0,0,0,0,0,1,66,275,17,1,1,2
"Postgrad","Married",38179,30,7,0,0,0,0,0,0,52,90,11,0,0,2
"Graduate","Married",80124,47,1,1,0,0,0,0,0,55,1495,19,1,1,0
"Postgrad","Married",38097,70,7,1,0,0,0,0,1,48,184,11,2,1,2
"Graduate","Married",72940,13,1,0,0,0,0,0,0,48,981,13,0,0,0
"Graduate","Married",22070,11,6,0,0,0,0,0,0,48,67,8,0,0,1
"Graduate","Single",69267,31,7,0,0,0,0,0,1,65,1635,14,1,1,0
"Postgrad","Single",31788,15,5,0,0,0,0,0,0,35,60,10,0,0,1
"Postgrad","Married",61905,2,5,0,0,0,0,0,0,43,231,12,0,0,1
"Graduate","Married",29315,55,6,0,0,0,0,0,0,58,48,10,0,0,2
"Graduate","Single",33378,38,7,0,0,0,0,0,0,55,99,9,0,0,2
"Postgrad","Married",66313,86,4,0,0,0,0,0,0,55,770,23,0,0,1
"Graduate","Single",60714,56,5,0,0,0,0,0,1,62,957,23,1,1,0
"Postgrad","Married",77882,29,1,0,0,0,0,0,0,37,818,12,0,0,0
"Postgrad","Single",69867,30,1,0,0,0,1,0,1,32,925,17,2,1,0
"Postgrad","Single",63841,64,6,0,0,0,0,0,0,50,908,22,0,0,1
"Undergraduate","Married",24480,46,7,0,0,0,0,0,0,37,102,10,0,0,1
"Graduate","Married",51369,84,8,0,0,0,0,0,0,42,576,16,0,0,1
"Graduate","Married",37760,20,7,0,0,0,0,0,0,72,317,13,0,0,0
"Postgrad","Married",65640,74,2,0,0,0,0,0,0,44,461,15,0,0,1
"Postgrad","Married",44319,18,5,0,0,0,0,0,0,43,37,7,0,0,2
"Graduate","Married",30631,75,7,0,0,0,0,0,0,44,70,7,0,0,1
"Graduate","Married",75278,17,3,0,0,0,0,0,0,66,930,23,0,0,0
"Postgrad","Married",50898,88,5,0,0,0,0,0,0,62,859,33,0,0,2
"Graduate","Single",79946,19,3,0,0,0,0,0,0,52,1478,22,0,0,0
"Postgrad","Single",35416,62,8,0,0,0,0,0,0,69,390,16,0,0,0
"Undergraduate","Married",32414,11,7,1,0,0,0,0,0,34,52,5,1,1,0
"Graduate","Married",38361,74,7,0,0,0,0,0,0,49,137,10,0,0,1
"Graduate","Married",82497,32,4,0,0,1,0,0,0,38,1919,19,1,1,0
"Graduate","Married",16626,76,9,0,0,0,0,0,0,47,68,9,0,0,2
"Graduate","Married",29672,6,6,0,0,0,0,0,0,53,25,4,0,0,2
"Postgrad","Married",55951,62,8,0,1,0,0,1,0,66,1374,23,2,1,1
"Undergraduate","Single",35388,20,7,0,0,0,0,0,0,30,32,5,0,0,1
"Postgrad","Married",42386,43,8,0,0,0,0,0,0,32,100,7,0,0,1
"Graduate","Single",68627,45,1,0,0,0,0,0,0,36,825,12,0,0,0
"Postgrad","Single",57912,34,5,0,1,0,0,0,0,53,916,28,1,1,1
"Graduate","Single",35246,53,5,0,0,0,0,0,0,60,62,11,0,0,2
"Undergraduate","Married",58821,44,6,0,0,0,0,0,0,62,728,21,0,0,1
"Postgrad","Married",46377,89,4,0,0,0,0,0,0,40,90,7,0,0,1
"Graduate","Single",39747,43,8,0,0,0,0,0,0,30,273,13,0,0,1
"Graduate","Married",23976,68,7,0,0,0,0,0,0,34,66,10,0,0,1
"Postgrad","Married",80950,44,2,0,0,0,1,0,0,57,1213,23,1,1,0
"Graduate","Single",27038,64,9,0,0,0,0,0,1,52,107,7,1,1,0
"Graduate","Single",77457,85,1,0,0,1,0,0,0,71,1157,18,1,1,0
"Postgrad","Married",64100,93,7,0,1,0,0,0,0,54,546,18,1,1,1
"Postgrad","Married",42670,12,4,0,0,0,0,0,0,26,241,11,0,0,0
"Graduate","Single",12571,86,6,0,0,0,0,0,0,42,53,11,0,0,1
"Graduate","Married",22574,28,7,0,0,0,0,0,0,51,37,7,0,0,3
"Postgrad","Single",70893,42,3,0,0,0,0,0,0,42,1508,23,0,0,0
"Graduate","Married",54198,13,4,0,0,0,0,0,0,52,235,16,0,0,2
"Postgrad","Married",28839,86,5,0,0,0,0,0,0,62,32,7,0,0,2
"Graduate","Married",40321,59,7,0,0,0,0,0,0,46,102,8,0,0,2
"Graduate","Single",66503,30,3,0,0,0,0,0,0,33,401,15,0,0,1
"Graduate","Married",30833,33,5,0,0,0,0,0,0,67,28,6,0,0,2
"Graduate","Married",64795,23,2,0,0,0,0,0,0,47,680,21,0,0,1
"Graduate","Married",34421,81,7,0,0,0,0,0,0,44,30,4,0,0,1
"Postgrad","Single",47025,6,7,0,0,0,0,0,0,53,20,4,0,0,2
"Postgrad","Single",64325,41,7,0,0,0,0,0,0,57,1307,23,0,0,1
"Graduate","Single",40464,78,8,0,0,0,0,0,0,65,630,24,0,0,1
"Graduate","Married",62187,49,3,0,0,0,0,0,0,61,1283,18,0,0,0
"Postgrad","Single",14849,39,8,0,0,0,0,0,0,42,65,9,0,0,1
"Graduate","Married",27255,3,7,0,0,0,0,0,0,34,37,5,0,0,1
"Postgrad","Married",54432,37,4,0,0,0,0,0,0,68,38,5,0,0,3
"Postgrad","Single",29999,22,8,0,0,0,0,0,0,32,160,12,0,0,1
"Graduate","Single",24072,79,8,0,0,0,0,0,0,35,23,4,0,0,1
"Postgrad","Single",33996,46,4,0,0,0,0,0,0,29,71,6,0,0,0
"Postgrad","Married",66334,82,5,0,0,0,0,0,1,62,1161,19,1,1,1
"Postgrad","Married",35178,10,7,1,0,0,0,0,1,47,59,5,2,1,1
"Graduate","Married",22010,51,8,0,0,0,0,0,0,35,33,7,0,0,1
"Graduate","Single",62204,38,3,0,0,0,0,0,0,58,946,22,0,0,2
"Graduate","Single",75693,10,4,0,1,1,1,0,1,50,1442,22,4,1,0
"Graduate","Married",30675,14,8,0,0,0,0,0,0,46,62,5,0,0,1
"Graduate","Married",83003,18,3,0,0,1,0,0,1,53,1674,22,2,1,0
"Graduate","Single",68655,95,3,0,0,0,0,0,0,30,1538,21,0,0,0
"Graduate","Single",41411,11,6,0,0,0,0,0,0,32,139,8,0,0,0
"Postgrad","Married",55212,65,8,0,1,0,0,1,0,49,1182,20,2,1,1
"Postgrad","Married",59292,71,3,0,0,0,0,0,0,68,507,18,0,0,1
"Undergraduate","Married",27190,13,8,1,0,0,0,0,1,45,18,4,2,1,1
"Graduate","Single",82623,58,1,0,0,0,0,0,0,66,940,16,0,0,0
"Graduate","Married",44300,65,6,0,0,0,0,0,0,53,42,6,0,0,2
"Graduate","Single",84835,0,1,0,0,0,0,0,1,48,1190,15,1,1,0
"Graduate","Single",30372,33,7,0,0,0,0,0,0,47,44,8,0,0,2
"Postgrad","Married",33181,90,6,1,0,0,0,0,0,42,16,4,1,1,1
"Graduate","Married",71113,95,4,0,0,0,0,0,0,61,835,26,0,0,1
"Graduate","Married",71952,93,4,1,0,1,0,0,0,32,1443,22,2,1,1
